model_filename,performance_metric,metric_value,dataset,source
Linear Discriminant Analysis,matthews_corrcoef,0.9613,mitbih,ensembling-models
K Neighbors Classifier,matthews_corrcoef,0.9598,mitbih,ensembling-models
CatBoost Classifier,matthews_corrcoef,0.9582,mitbih,ensembling-models
Random Forest Classifier,matthews_corrcoef,0.9577,mitbih,ensembling-models
Gradient Boosting Classifier,matthews_corrcoef,0.9578,mitbih,ensembling-models
Light Gradient Boosting Machine,matthews_corrcoef,0.9573,mitbih,ensembling-models
Extra Trees Classifier,matthews_corrcoef,0.957,mitbih,ensembling-models
Extreme Gradient Boosting,matthews_corrcoef,0.9562,mitbih,ensembling-models
Decision Tree Classifier,matthews_corrcoef,0.9516,mitbih,ensembling-models
Quadratic Discriminant Analysis,matthews_corrcoef,0.9209,mitbih,ensembling-models
Ada Boost Classifier,matthews_corrcoef,0.4772,mitbih,ensembling-models
Dummy Classifier,matthews_corrcoef,0.0,mitbih,ensembling-models
Naive Bayes,matthews_corrcoef,0.3674,mitbih,ensembling-models
Logistic Regression,balanced_accuracy_score,0.8994,mitbih,ensembling-models
Ridge Classifier,balanced_accuracy_score,0.9018,mitbih,ensembling-models
SVM - Linear Kernel,balanced_accuracy_score,0.9021,mitbih,ensembling-models
Linear Discriminant Analysis,balanced_accuracy_score,0.9079,mitbih,ensembling-models
K Neighbors Classifier,balanced_accuracy_score,0.8911,mitbih,ensembling-models
CatBoost Classifier,balanced_accuracy_score,0.9007,mitbih,ensembling-models
Random Forest Classifier,balanced_accuracy_score,0.8937,mitbih,ensembling-models
Gradient Boosting Classifier,balanced_accuracy_score,0.8971,mitbih,ensembling-models
Light Gradient Boosting Machine,balanced_accuracy_score,0.8958,mitbih,ensembling-models
Extra Trees Classifier,balanced_accuracy_score,0.8914,mitbih,ensembling-models
Extreme Gradient Boosting,balanced_accuracy_score,0.8976,mitbih,ensembling-models
Decision Tree Classifier,balanced_accuracy_score,0.8831,mitbih,ensembling-models
Quadratic Discriminant Analysis,balanced_accuracy_score,0.7788,mitbih,ensembling-models
Ada Boost Classifier,balanced_accuracy_score,0.44,mitbih,ensembling-models
Dummy Classifier,balanced_accuracy_score,0.2,mitbih,ensembling-models
Naive Bayes,balanced_accuracy_score,0.6004,mitbih,ensembling-models
Extra Trees Classifier,accuracy,0.9907,ptbdb,ensembling-models
K Neighbors Classifier,accuracy,0.9897,ptbdb,ensembling-models
CatBoost Classifier,accuracy,0.9897,ptbdb,ensembling-models
Logistic Regression,accuracy,0.9892,ptbdb,ensembling-models
Decision Tree Classifier,accuracy,0.9892,ptbdb,ensembling-models
Ridge Classifier,accuracy,0.9892,ptbdb,ensembling-models
Linear Discriminant Analysis,accuracy,0.9892,ptbdb,ensembling-models
Extreme Gradient Boosting,accuracy,0.9892,ptbdb,ensembling-models
Light Gradient Boosting Machine,accuracy,0.9892,ptbdb,ensembling-models
Random Forest Classifier,accuracy,0.9887,ptbdb,ensembling-models
Gradient Boosting Classifier,accuracy,0.9887,ptbdb,ensembling-models
Ada Boost Classifier,accuracy,0.9867,ptbdb,ensembling-models
SVM - Linear Kernel,accuracy,0.9858,ptbdb,ensembling-models
Naive Bayes,accuracy,0.9833,ptbdb,ensembling-models
Quadratic Discriminant Analysis,accuracy,0.9818,ptbdb,ensembling-models
Dummy Classifier,accuracy,0.7207,ptbdb,ensembling-models
Extra Trees Classifier,roc_auc_score,0.9884,ptbdb,ensembling-models
K Neighbors Classifier,roc_auc_score,0.9941,ptbdb,ensembling-models
CatBoost Classifier,roc_auc_score,0.9972,ptbdb,ensembling-models
Logistic Regression,roc_auc_score,0.997,ptbdb,ensembling-models
Decision Tree Classifier,roc_auc_score,0.9858,ptbdb,ensembling-models
Ridge Classifier,roc_auc_score,0.0,ptbdb,ensembling-models
Linear Discriminant Analysis,roc_auc_score,0.9901,ptbdb,ensembling-models
Extreme Gradient Boosting,roc_auc_score,0.9972,ptbdb,ensembling-models
Light Gradient Boosting Machine,roc_auc_score,0.9973,ptbdb,ensembling-models
Random Forest Classifier,roc_auc_score,0.994,ptbdb,ensembling-models
Gradient Boosting Classifier,roc_auc_score,0.9971,ptbdb,ensembling-models
Ada Boost Classifier,roc_auc_score,0.997,ptbdb,ensembling-models
SVM - Linear Kernel,roc_auc_score,0.0,ptbdb,ensembling-models
Naive Bayes,roc_auc_score,0.997,ptbdb,ensembling-models
Quadratic Discriminant Analysis,roc_auc_score,0.9966,ptbdb,ensembling-models
Dummy Classifier,roc_auc_score,0.5,ptbdb,ensembling-models
Extra Trees Classifier,recall_score,0.9959,ptbdb,ensembling-models
K Neighbors Classifier,recall_score,0.9945,ptbdb,ensembling-models
CatBoost Classifier,recall_score,0.9959,ptbdb,ensembling-models
Logistic Regression,recall_score,0.9945,ptbdb,ensembling-models
Decision Tree Classifier,recall_score,0.9945,ptbdb,ensembling-models
Ridge Classifier,recall_score,0.9945,ptbdb,ensembling-models
Linear Discriminant Analysis,recall_score,0.9945,ptbdb,ensembling-models
Extreme Gradient Boosting,recall_score,0.9959,ptbdb,ensembling-models
Light Gradient Boosting Machine,recall_score,0.9952,ptbdb,ensembling-models
Random Forest Classifier,recall_score,0.9959,ptbdb,ensembling-models
Gradient Boosting Classifier,recall_score,0.9959,ptbdb,ensembling-models
Ada Boost Classifier,recall_score,0.9898,ptbdb,ensembling-models
SVM - Linear Kernel,recall_score,0.9911,ptbdb,ensembling-models
Naive Bayes,recall_score,0.9809,ptbdb,ensembling-models
Quadratic Discriminant Analysis,recall_score,0.9809,ptbdb,ensembling-models
Dummy Classifier,recall_score,1.0,ptbdb,ensembling-models
Extra Trees Classifier,precision_score,0.9913,ptbdb,ensembling-models
K Neighbors Classifier,precision_score,0.9912,ptbdb,ensembling-models
CatBoost Classifier,precision_score,0.99,ptbdb,ensembling-models
Logistic Regression,precision_score,0.9906,ptbdb,ensembling-models
Decision Tree Classifier,precision_score,0.9906,ptbdb,ensembling-models
Ridge Classifier,precision_score,0.9906,ptbdb,ensembling-models
Linear Discriminant Analysis,precision_score,0.9906,ptbdb,ensembling-models
Extreme Gradient Boosting,precision_score,0.9893,ptbdb,ensembling-models
Light Gradient Boosting Machine,precision_score,0.99,ptbdb,ensembling-models
Random Forest Classifier,precision_score,0.9886,ptbdb,ensembling-models
Gradient Boosting Classifier,precision_score,0.9886,ptbdb,ensembling-models
Ada Boost Classifier,precision_score,0.9919,ptbdb,ensembling-models
SVM - Linear Kernel,precision_score,0.9892,ptbdb,ensembling-models
Naive Bayes,precision_score,0.9959,ptbdb,ensembling-models
Quadratic Discriminant Analysis,precision_score,0.9939,ptbdb,ensembling-models
Dummy Classifier,precision_score,0.7207,ptbdb,ensembling-models
Extra Trees Classifier,f1_score,0.9936,ptbdb,ensembling-models
K Neighbors Classifier,f1_score,0.9929,ptbdb,ensembling-models
CatBoost Classifier,f1_score,0.9929,ptbdb,ensembling-models
Logistic Regression,f1_score,0.9925,ptbdb,ensembling-models
Decision Tree Classifier,f1_score,0.9925,ptbdb,ensembling-models
Ridge Classifier,f1_score,0.9925,ptbdb,ensembling-models
Linear Discriminant Analysis,f1_score,0.9925,ptbdb,ensembling-models
Extreme Gradient Boosting,f1_score,0.9926,ptbdb,ensembling-models
Light Gradient Boosting Machine,f1_score,0.9925,ptbdb,ensembling-models
Random Forest Classifier,f1_score,0.9922,ptbdb,ensembling-models
Gradient Boosting Classifier,f1_score,0.9922,ptbdb,ensembling-models
Ada Boost Classifier,f1_score,0.9908,ptbdb,ensembling-models
SVM - Linear Kernel,f1_score,0.9902,ptbdb,ensembling-models
Naive Bayes,f1_score,0.9883,ptbdb,ensembling-models
Quadratic Discriminant Analysis,f1_score,0.9873,ptbdb,ensembling-models
Dummy Classifier,f1_score,0.8377,ptbdb,ensembling-models
Extra Trees Classifier,cohen_kappa_score,0.9766,ptbdb,ensembling-models
K Neighbors Classifier,cohen_kappa_score,0.9742,ptbdb,ensembling-models
CatBoost Classifier,cohen_kappa_score,0.9741,ptbdb,ensembling-models
Logistic Regression,cohen_kappa_score,0.973,ptbdb,ensembling-models
Decision Tree Classifier,cohen_kappa_score,0.973,ptbdb,ensembling-models
Ridge Classifier,cohen_kappa_score,0.973,ptbdb,ensembling-models
Linear Discriminant Analysis,cohen_kappa_score,0.973,ptbdb,ensembling-models
Extreme Gradient Boosting,cohen_kappa_score,0.9729,ptbdb,ensembling-models
Light Gradient Boosting Machine,cohen_kappa_score,0.9729,ptbdb,ensembling-models
Random Forest Classifier,cohen_kappa_score,0.9717,ptbdb,ensembling-models
Gradient Boosting Classifier,cohen_kappa_score,0.9717,ptbdb,ensembling-models
Ada Boost Classifier,cohen_kappa_score,0.967,ptbdb,ensembling-models
SVM - Linear Kernel,cohen_kappa_score,0.9645,ptbdb,ensembling-models
Naive Bayes,cohen_kappa_score,0.9591,ptbdb,ensembling-models
Quadratic Discriminant Analysis,cohen_kappa_score,0.9554,ptbdb,ensembling-models
Dummy Classifier,cohen_kappa_score,0.0,ptbdb,ensembling-models
Extra Trees Classifier,matthews_corrcoef,0.9769,ptbdb,ensembling-models
K Neighbors Classifier,matthews_corrcoef,0.9744,ptbdb,ensembling-models
CatBoost Classifier,matthews_corrcoef,0.9744,ptbdb,ensembling-models
Logistic Regression,matthews_corrcoef,0.9731,ptbdb,ensembling-models
Decision Tree Classifier,matthews_corrcoef,0.9732,ptbdb,ensembling-models
Ridge Classifier,matthews_corrcoef,0.9731,ptbdb,ensembling-models
Linear Discriminant Analysis,matthews_corrcoef,0.9731,ptbdb,ensembling-models
Extreme Gradient Boosting,matthews_corrcoef,0.9732,ptbdb,ensembling-models
Light Gradient Boosting Machine,matthews_corrcoef,0.9732,ptbdb,ensembling-models
Random Forest Classifier,matthews_corrcoef,0.972,ptbdb,ensembling-models
Gradient Boosting Classifier,matthews_corrcoef,0.972,ptbdb,ensembling-models
Ada Boost Classifier,matthews_corrcoef,0.9672,ptbdb,ensembling-models
SVM - Linear Kernel,matthews_corrcoef,0.9647,ptbdb,ensembling-models
Naive Bayes,matthews_corrcoef,0.9597,ptbdb,ensembling-models
Quadratic Discriminant Analysis,matthews_corrcoef,0.956,ptbdb,ensembling-models
Dummy Classifier,matthews_corrcoef,0.0,ptbdb,ensembling-models
Extra Trees Classifier,balanced_accuracy_score,0.9865,ptbdb,ensembling-models
K Neighbors Classifier,balanced_accuracy_score,0.9858,ptbdb,ensembling-models
CatBoost Classifier,balanced_accuracy_score,0.9847,ptbdb,ensembling-models
Logistic Regression,balanced_accuracy_score,0.9849,ptbdb,ensembling-models
Decision Tree Classifier,balanced_accuracy_score,0.9849,ptbdb,ensembling-models
Ridge Classifier,balanced_accuracy_score,0.9849,ptbdb,ensembling-models
Linear Discriminant Analysis,balanced_accuracy_score,0.9849,ptbdb,ensembling-models
Extreme Gradient Boosting,balanced_accuracy_score,0.9839,ptbdb,ensembling-models
Light Gradient Boosting Machine,balanced_accuracy_score,0.9844,ptbdb,ensembling-models
Random Forest Classifier,balanced_accuracy_score,0.983,ptbdb,ensembling-models
Gradient Boosting Classifier,balanced_accuracy_score,0.983,ptbdb,ensembling-models
Ada Boost Classifier,balanced_accuracy_score,0.9843,ptbdb,ensembling-models
SVM - Linear Kernel,balanced_accuracy_score,0.9815,ptbdb,ensembling-models
Naive Bayes,balanced_accuracy_score,0.9852,ptbdb,ensembling-models
Quadratic Discriminant Analysis,balanced_accuracy_score,0.9825,ptbdb,ensembling-models
Dummy Classifier,balanced_accuracy_score,0.5,ptbdb,ensembling-models
WeightedEnsemble_L3,accuracy,0.987756127646938,mitbih,automl-baseline
LightGBM_BAG_L2,accuracy,0.9875048541471548,mitbih,automl-baseline
XGBoost_BAG_L2,accuracy,0.9874934326244376,mitbih,automl-baseline
NeuralNetFastAI_BAG_L2,accuracy,0.9874705895790028,mitbih,automl-baseline
RandomForestEntr_BAG_L2,accuracy,0.9874020604426982,mitbih,automl-baseline
RandomForestGini_BAG_L2,accuracy,0.987253580647372,mitbih,automl-baseline
LightGBMXT_BAG_L2,accuracy,0.9872078945565024,mitbih,automl-baseline
LightGBMLarge_BAG_L2,accuracy,0.9871850515110676,mitbih,automl-baseline
ExtraTreesGini_BAG_L2,accuracy,0.9870936793293282,mitbih,automl-baseline
CatBoost_BAG_L2,accuracy,0.9870251501930236,mitbih,automl-baseline
ExtraTreesEntr_BAG_L2,accuracy,0.9870251501930236,mitbih,automl-baseline
WeightedEnsemble_L2,accuracy,0.9867053475569364,mitbih,automl-baseline
NeuralNetFastAI_BAG_L1,accuracy,0.9860885853301964,mitbih,automl-baseline
LightGBMXT_BAG_L1,accuracy,0.9854718231034562,mitbih,automl-baseline
NeuralNetTorch_BAG_L2,accuracy,0.9836101149005184,mitbih,automl-baseline
LightGBM_BAG_L1,accuracy,0.9832674692189964,mitbih,automl-baseline
RandomForestEntr_BAG_L1,accuracy,0.976494506247573,mitbih,automl-baseline
RandomForestGini_BAG_L1,accuracy,0.9760604883843114,mitbih,automl-baseline
KNeighborsDist_BAG_L1,accuracy,0.9757064211800718,mitbih,automl-baseline
KNeighborsUnif_BAG_L1,accuracy,0.9749183361125704,mitbih,automl-baseline
WeightedEnsemble_L3,roc_auc_score,0.9911527228998454,ptbdb,automl-baseline
LightGBM_BAG_L2,roc_auc_score,0.9909809311114928,ptbdb,automl-baseline
NeuralNetFastAI_BAG_L2,roc_auc_score,0.9909809311114928,ptbdb,automl-baseline
LightGBMLarge_BAG_L2,roc_auc_score,0.9906373475347878,ptbdb,automl-baseline
WeightedEnsemble_L2,roc_auc_score,0.9899501803813776,ptbdb,automl-baseline
CatBoost_BAG_L2,roc_auc_score,0.9898642844872017,ptbdb,automl-baseline
XGBoost_BAG_L2,roc_auc_score,0.9896065968046728,ptbdb,automl-baseline
LightGBMXT_BAG_L2,roc_auc_score,0.9892630132279676,ptbdb,automl-baseline
ExtraTreesEntr_BAG_L2,roc_auc_score,0.989005325545439,ptbdb,automl-baseline
RandomForestEntr_BAG_L2,roc_auc_score,0.989005325545439,ptbdb,automl-baseline
RandomForestGini_BAG_L2,roc_auc_score,0.9887476378629102,ptbdb,automl-baseline
ExtraTreesGini_BAG_L2,roc_auc_score,0.9884040542862051,ptbdb,automl-baseline
NeuralNetFastAI_BAG_L1,roc_auc_score,0.98737330355609,ptbdb,automl-baseline
NeuralNetTorch_BAG_L2,roc_auc_score,0.9869438240852088,ptbdb,automl-baseline
LightGBM_BAG_L1,roc_auc_score,0.98599896924927,ptbdb,automl-baseline
LightGBMXT_BAG_L1,roc_auc_score,0.9854835938842124,ptbdb,automl-baseline
LightGBMLarge_BAG_L1,roc_auc_score,0.9839374677890396,ptbdb,automl-baseline
XGBoost_BAG_L1,roc_auc_score,0.9818759663288096,ptbdb,automl-baseline
RandomForestEntr_BAG_L1,roc_auc_score,0.9766363167840576,ptbdb,automl-baseline
ExtraTreesEntr_BAG_L1,roc_auc_score,0.9765504208898814,ptbdb,automl-baseline
NeuralNetTorch_BAG_L1,roc_auc_score,0.9762927332073528,ptbdb,automl-baseline
CatBoost_BAG_L1,roc_auc_score,0.975347878371414,ptbdb,automl-baseline
ExtraTreesGini_BAG_L1,roc_auc_score,0.9748325030063564,ptbdb,automl-baseline
RandomForestGini_BAG_L1,roc_auc_score,0.9725133138635972,ptbdb,automl-baseline
KNeighborsDist_BAG_L1,roc_auc_score,0.9359216629445112,ptbdb,automl-baseline
KNeighborsUnif_BAG_L1,roc_auc_score,0.9320563477065796,ptbdb,automl-baseline
